"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE"
"HF004","2","GSWS01","2014","2013-10-01","1.4983","1.8499","1.2926","4.0461","0.1505","A"
"HF004","2","GSWS01","2014","2013-10-02","0.9359","1.2926","0.7125","2.5273","0.094","A"
"HF004","2","GSWS01","2014","2013-10-03","0.6187","0.7125","0.5136","1.6706","0.0621","A"
"HF004","2","GSWS01","2014","2013-10-04","0.4365","0.5136","0.37","1.1787","0.0438","A"
"HF004","2","GSWS01","2014","2013-10-05","0.333","0.37","0.306","0.8991","0.0334","A"
"HF004","2","GSWS01","2014","2013-10-06","0.2829","0.306","0.2638","0.764","0.0284","A"
"HF004","2","GSWS01","2014","2013-10-07","0.2775","0.3013","0.2592","0.7495","0.0279","A"
"HF004","2","GSWS01","2014","2013-10-08","0.295","0.3489","0.2638","0.7967","0.0296","A"
"HF004","2","GSWS01","2014","2013-10-09","0.3278","0.3489","0.3013","0.8852","0.0329","A"
"HF004","2","GSWS01","2014","2013-10-10","0.2847","0.3013","0.2685","0.7688","0.0286","A"
"HF004","2","GSWS01","2014","2013-10-11","0.2559","0.2685","0.2407","0.6911","0.0257","A"
"HF004","2","GSWS01","2014","2013-10-12","0.2329","0.2407","0.2224","0.629","0.0234","A"
"HF004","2","GSWS01","2014","2013-10-13","0.2157","0.2224","0.2042","0.5826","0.0217","A"
"HF004","2","GSWS01","2014","2013-10-14","0.2003","0.2042","0.1952","0.5408","0.0201","A"
"HF004","2","GSWS01","2014","2013-10-15","0.1895","0.1952","0.1818","0.5117","0.019","A"
"HF004","2","GSWS01","2014","2013-10-16","0.1828","0.1863","0.1773","0.4937","0.0184","A"
"HF004","2","GSWS01","2014","2013-10-17","0.1751","0.1773","0.1685","0.4728","0.0176","A"
"HF004","2","GSWS01","2014","2013-10-18","0.1663","0.1685","0.1588","0.449","0.0167","A"
"HF004","2","GSWS01","2014","2013-10-19","0.1568","0.1588","0.1524","0.4233","0.0157","A"
"HF004","2","GSWS01","2014","2013-10-20","0.1494","0.1524","0.1399","0.4035","0.015","A"
"HF004","2","GSWS01","2014","2013-10-21","0.1459","0.1461","0.1399","0.394","0.0147","A"
"HF004","2","GSWS01","2014","2013-10-22","0.1398","0.1524","0.1279","0.3776","0.014","A"
"HF004","2","GSWS01","2014","2013-10-23","0.1365","0.1399","0.1279","0.3685","0.0137","A"
"HF004","2","GSWS01","2014","2013-10-24","0.1353","0.1399","0.1279","0.3653","0.0136","A"
"HF004","2","GSWS01","2014","2013-10-25","0.1279","0.1279","0.1279","0.3453","0.0128","A"
"HF004","2","GSWS01","2014","2013-10-26","0.1335","0.1338","0.1279","0.3606","0.0134","A"
"HF004","2","GSWS01","2014","2013-10-27","0.1502","0.1818","0.122","0.4055","0.0151","A"
"HF004","2","GSWS01","2014","2013-10-28","0.1463","0.1641","0.1338","0.3952","0.0147","A"
"HF004","2","GSWS01","2014","2013-10-29","0.129","0.1338","0.1279","0.3483","0.013","A"
"HF004","2","GSWS01","2014","2013-10-30","0.1248","0.1279","0.122","0.3369","0.0125","A"
"HF004","2","GSWS01","2014","2013-10-31","0.122","0.122","0.122","0.3295","0.0123","A"
"HF004","2","GSWS01","2014","2013-11-01","0.124","0.1279","0.122","0.3348","0.0125","A"
"HF004","2","GSWS01","2014","2013-11-02","0.3319","0.5692","0.1279","0.8963","0.0333","A"
"HF004","2","GSWS01","2014","2013-11-03","0.3226","0.3537","0.2778","0.8712","0.0324","A"
"HF004","2","GSWS01","2014","2013-11-04","0.2764","0.2825","0.2731","0.7465","0.0278","A"
"HF004","2","GSWS01","2014","2013-11-05","1.4901","2.1399","0.2825","4.0238","0.1496","A"
"HF004","2","GSWS01","2014","2013-11-06","1.3092","1.5662","1.1398","3.5355","0.1315","A"
"HF004","2","GSWS01","2014","2013-11-07","1.7066","2.5586","0.9808","4.6085","0.1714","A"
"HF004","2","GSWS01","2014","2013-11-08","1.4393","2.1066","1.022","3.8868","0.1445","A"
"HF004","2","GSWS01","2014","2013-11-09","0.8219","1.022","0.675","2.2194","0.0825","A"
"HF004","2","GSWS01","2014","2013-11-10","0.5836","0.6676","0.5045","1.5759","0.0586","A"
"HF004","2","GSWS01","2014","2013-11-11","0.443","0.5045","0.3938","1.1962","0.0445","A"
"HF004","2","GSWS01","2014","2013-11-12","0.3542","0.3938","0.3345","0.9564","0.0356","A"
"HF004","2","GSWS01","2014","2013-11-13","0.3157","0.3345","0.3013","0.8526","0.0317","A"
"HF004","2","GSWS01","2014","2013-11-14","0.2934","0.3013","0.2872","0.7924","0.0295","A"
"HF004","2","GSWS01","2014","2013-11-15","0.2815","0.3202","0.2731","0.7601","0.0283","A"
"HF004","2","GSWS01","2014","2013-11-16","0.8595","1.0138","0.325","2.321","0.0863","A"
"HF004","2","GSWS01","2014","2013-11-17","1.1155","1.1741","0.9563","3.0124","0.112","A"
"HF004","2","GSWS01","2014","2013-11-18","1.0749","1.6533","0.9563","2.9026","0.1079","A"
"HF004","2","GSWS01","2014","2013-11-19","4.9489","6.7304","1.6829","13.3641","0.497","A"
"HF004","2","GSWS01","2014","2013-11-20","3.9363","6.2741","2.1399","10.6297","0.3953","A"
"HF004","2","GSWS01","2014","2013-11-21","1.521","2.1399","1.1228","4.1074","0.1528","A"
"HF004","2","GSWS01","2014","2013-11-22","0.9606","1.1228","0.836","2.5941","0.0965","A"
"HF004","2","GSWS01","2014","2013-11-23","0.7537","0.836","0.6825","2.0354","0.0757","A"
"HF004","2","GSWS01","2014","2013-11-24","0.6331","0.6825","0.5787","1.7097","0.0636","A"
"HF004","2","GSWS01","2014","2013-11-25","0.5261","0.5787","0.4779","1.4206","0.0528","A"
"HF004","2","GSWS01","2014","2013-11-26","0.446","0.4779","0.4183","1.2045","0.0448","A"
"HF004","2","GSWS01","2014","2013-11-27","0.3994","0.4183","0.3779","1.0786","0.0401","A"
"HF004","2","GSWS01","2014","2013-11-28","0.3615","0.3779","0.3489","0.9763","0.0363","A"
"HF004","2","GSWS01","2014","2013-11-29","0.338","0.3489","0.325","0.9127","0.0339","A"
"HF004","2","GSWS01","2014","2013-11-30","0.3223","0.3298","0.3155","0.8704","0.0324","A"
"HF004","2","GSWS01","2014","2013-12-01","0.5182","0.8047","0.3155","1.3994","0.052","A"
"HF004","2","GSWS01","2014","2013-12-02","6.4803","9.5547","0.8203","17.4996","0.6508","A"
"HF004","2","GSWS01","2014","2013-12-03","2.909","4.6461","1.8036","7.8554","0.2921","A"
"HF004","2","GSWS01","2014","2013-12-04","1.408","1.7883","1.1483","3.8023","0.1414","A"
"HF004","2","GSWS01","2014","2013-12-05","1.0163","1.1483","0.9238","2.7444","0.1021","A"
"HF004","2","GSWS01","2014","2013-12-06","0.8599","0.9238","0.7969","2.322","0.0864","A"
"HF004","2","GSWS01","2014","2013-12-07","0.7305","0.7969","0.675","1.9726","0.0734","A"
"HF004","2","GSWS01","2014","2013-12-08","0.6389","0.675","0.6077","1.7253","0.0642","A"
"HF004","2","GSWS01","2014","2013-12-09","0.5806","0.6077","0.5598","1.5678","0.0583","A"
"HF004","2","GSWS01","2014","2013-12-10","0.539","0.5598","0.5318","1.4554","0.0541","A"
"HF004","2","GSWS01","2014","2013-12-11","0.5171","0.5318","0.5045","1.3963","0.0519","A"
"HF004","2","GSWS01","2014","2013-12-12","0.5084","0.5504","0.4956","1.373","0.0511","A"
"HF004","2","GSWS01","2014","2013-12-13","0.6105","0.69","0.5411","1.6487","0.0613","A"
"HF004","2","GSWS01","2014","2013-12-14","0.666","0.69","0.6454","1.7984","0.0669","A"
"HF004","2","GSWS01","2014","2013-12-15","0.6233","0.6454","0.6161","1.6831","0.0626","A"
"HF004","2","GSWS01","2014","2013-12-16","0.5992","0.6161","0.5787","1.618","0.0602","A"
"HF004","2","GSWS01","2014","2013-12-17","0.5608","0.5787","0.5411","1.5143","0.0563","A"
"HF004","2","GSWS01","2014","2013-12-18","0.5251","0.5411","0.5136","1.4179","0.0527","A"
"HF004","2","GSWS01","2014","2013-12-19","0.4891","0.5136","0.4692","1.3207","0.0491","A"
"HF004","2","GSWS01","2014","2013-12-20","0.5336","0.7891","0.4605","1.4409","0.0536","A"
"HF004","2","GSWS01","2014","2013-12-21","1.0353","1.1313","0.7891","2.7957","0.104","A"
"HF004","2","GSWS01","2014","2013-12-22","1.1756","1.1913","1.1313","3.1746","0.1181","A"
"HF004","2","GSWS01","2014","2013-12-23","1.1538","1.1827","1.1313","3.1158","0.1159","A"
"HF004","2","GSWS01","2014","2013-12-24","1.1287","1.1569","1.0637","3.0481","0.1134","A"
"HF004","2","GSWS01","2014","2013-12-25","1.0015","1.0637","0.9238","2.7046","0.1006","A"
"HF004","2","GSWS01","2014","2013-12-26","0.8538","0.9157","0.7891","2.3057","0.0857","A"
