"STCODE","FORMAT","SITECODE","WATERYEAR","DATE_TIME","EQN_SET_CODE","STAGE","INST_Q","INST_Q_AREA","INTERVAL","MEAN_Q","MEAN_Q_AREA","TOTAL_Q_INT","EST_CODE","EVENT_CODE"
"HF004",1,"GSWS08","2014","2013-09-01 00:00:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:05:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:10:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:15:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:20:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:25:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:30:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:35:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:40:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:45:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:50:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 00:55:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:00:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:05:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.32e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:10:00","18",0.097,0.008,0.102,"5",0.008,0.102,1.35e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:15:00","18",0.099,0.009,0.107,"5",0.009,0.105,1.39e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:20:00","18",0.099,0.009,0.107,"5",0.009,0.107,1.39e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:25:00","18",0.099,0.009,0.107,"5",0.009,0.107,1.39e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:30:00","18",0.099,0.009,0.107,"5",0.009,0.107,1.39e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:35:00","18",0.099,0.009,0.107,"5",0.009,0.107,1.39e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:40:00","18",0.099,0.009,0.107,"5",0.009,0.107,1.39e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:45:00","18",0.099,0.009,0.107,"5",0.009,0.107,1.39e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:50:00","18",0.099,0.009,0.107,"5",0.009,0.107,1.39e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 01:55:00","18",0.099,0.009,0.107,"5",0.009,0.107,1.39e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 02:00:00","18",0.099,0.009,0.107,"5",0.009,0.107,1.41e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 02:05:00","18",0.1,0.009,0.11,"5",0.009,0.109,1.42e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 02:10:00","18",0.1,0.009,0.11,"5",0.009,0.11,1.42e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 02:15:00","18",0.1,0.009,0.11,"5",0.009,0.11,1.42e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 02:20:00","18",0.1,0.009,0.11,"5",0.009,0.11,1.42e-05,"A","NA"
"HF004",1,"GSWS08","2014","2013-09-01 02:25:00","18",0.1,0.009,0.11,"5",0.009,0.11,1.42e-05,"A","NA"
