"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE"
"HF004","2","GSWSMA","2014","2013-10-01","25.6668","28.9865","22.4293","11.4393","0.4254","A"
"HF004","2","GSWSMA","2014","2013-10-02","16.9639","22.3608","12.9313","7.5605","0.2812","A"
"HF004","2","GSWSMA","2014","2013-10-03","10.6225","12.9313","8.9599","4.7343","0.1761","A"
"HF004","2","GSWSMA","2014","2013-10-04","7.7973","8.9599","6.846","3.4751","0.1292","A"
"HF004","2","GSWSMA","2014","2013-10-05","6.2378","6.846","5.6955","2.7801","0.1034","A"
"HF004","2","GSWSMA","2014","2013-10-06","5.2583","5.6955","4.846","2.3435","0.0872","A"
"HF004","2","GSWSMA","2014","2013-10-07","5.6198","6.5424","4.7145","2.5046","0.0931","A"
"HF004","2","GSWSMA","2014","2013-10-08","5.9422","7.2808","5.2224","2.6483","0.0985","A"
"HF004","2","GSWSMA","2014","2013-10-09","6.2446","7.1866","5.6672","2.7831","0.1035","A"
"HF004","2","GSWSMA","2014","2013-10-10","5.3185","5.6955","5.0058","2.3703","0.0882","A"
"HF004","2","GSWSMA","2014","2013-10-11","4.7558","5.0058","4.5587","2.1196","0.0788","A"
"HF004","2","GSWSMA","2014","2013-10-12","4.3657","4.5587","4.1791","1.9457","0.0724","A"
"HF004","2","GSWSMA","2014","2013-10-13","4.0017","4.1791","3.7897","1.7835","0.0663","A"
"HF004","2","GSWSMA","2014","2013-10-14","3.6305","3.7897","3.4395","1.6181","0.0602","A"
"HF004","2","GSWSMA","2014","2013-10-15","3.3257","3.4395","3.1698","1.4822","0.0551","A"
"HF004","2","GSWSMA","2014","2013-10-16","3.0678","3.1698","2.9309","1.3673","0.0508","A"
"HF004","2","GSWSMA","2014","2013-10-17","2.8392","2.9309","2.7207","1.2654","0.0471","A"
"HF004","2","GSWSMA","2014","2013-10-18","2.6544","2.7414","2.5372","1.183","0.044","A"
"HF004","2","GSWSMA","2014","2013-10-19","2.4825","2.5372","2.3982","1.1064","0.0411","A"
"HF004","2","GSWSMA","2014","2013-10-20","2.3324","2.3982","2.2627","1.0395","0.0387","A"
"HF004","2","GSWSMA","2014","2013-10-21","2.2045","2.2627","2.1305","0.9825","0.0365","A"
"HF004","2","GSWSMA","2014","2013-10-22","2.0668","2.1305","1.9835","0.9211","0.0343","A"
"HF004","2","GSWSMA","2014","2013-10-23","1.9889","2.0198","1.9296","0.8864","0.033","A"
"HF004","2","GSWSMA","2014","2013-10-24","1.8938","1.9296","1.8236","0.844","0.0314","A"
"HF004","2","GSWSMA","2014","2013-10-25","1.7931","1.8411","1.7202","0.7991","0.0297","A"
"HF004","2","GSWSMA","2014","2013-10-26","1.6882","1.7202","1.636","0.7524","0.028","A"
