"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE"
"HF004","2","GSWSMF","2014","2013-10-01","0.4034","0.9955","0.0598","0.1798","0.0067","A"
"HF004","2","GSWSMF","2014","2013-10-02","0.0534","0.0624","0.049","0.0238","0.0009","A"
"HF004","2","GSWSMF","2014","2013-10-03","0.0452","0.0522","0.043","0.0202","0.0007","A"
"HF004","2","GSWSMF","2014","2013-10-04","0.0434","0.0452","0.043","0.0194","0.0007","A"
"HF004","2","GSWSMF","2014","2013-10-05","0.043","0.0452","0.0409","0.0192","0.0007","A"
"HF004","2","GSWSMF","2014","2013-10-06","0.0417","0.043","0.0402","0.0186","0.0007","A"
"HF004","2","GSWSMF","2014","2013-10-07","0.04","0.0423","0.0388","0.0178","0.0007","A"
"HF004","2","GSWSMF","2014","2013-10-08","0.0393","0.0402","0.0381","0.0175","0.0007","A"
"HF004","2","GSWSMF","2014","2013-10-09","0.0334","0.0402","0.03","0.0149","0.0006","A"
"HF004","2","GSWSMF","2014","2013-10-10","0.031","0.0317","0.03","0.0138","0.0005","A"
"HF004","2","GSWSMF","2014","2013-10-11","0.0302","0.0317","0.0282","0.0135","0.0005","A"
"HF004","2","GSWSMF","2014","2013-10-12","0.0234","0.03","0.0205","0.0104","0.0004","A"
"HF004","2","GSWSMF","2014","2013-10-13","0.0216","0.0224","0.0205","0.0096","0.0004","A"
"HF004","2","GSWSMF","2014","2013-10-14","0.02","0.0215","0.0196","0.0089","0.0003","A"
"HF004","2","GSWSMF","2014","2013-10-15","0.02","0.021","0.0196","0.0089","0.0003","A"
"HF004","2","GSWSMF","2014","2013-10-16","0.02","0.021","0.0196","0.0089","0.0003","A"
"HF004","2","GSWSMF","2014","2013-10-17","0.0184","0.0205","0.017","0.0082","0.0003","A"
"HF004","2","GSWSMF","2014","2013-10-18","0.0172","0.0174","0.017","0.0076","0.0003","A"
"HF004","2","GSWSMF","2014","2013-10-19","0.0172","0.0174","0.0166","0.0077","0.0003","A"
