"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS07","2015","2015","1","0.2088","0.8787","0.0783","3.5162","4.0538","A","0","31"
"HF004","2","GSWS07","2015","2015","2","0.181","0.6727","0.0588","3.0485","3.1743","A","0","28"
"HF004","2","GSWS07","2015","2015","3","0.0645","0.189","0.0332","1.087","1.2532","A","0","31"
"HF004","2","GSWS07","2015","2015","4","0.0715","0.1007","0.0407","1.2047","1.3441","Q","2","30"
"HF004","2","GSWS07","2015","2015","5","0.0293","0.0455","0.0141","0.4934","0.5688","Q","1","31"
"HF004","2","GSWS07","2015","2015","6","0.0134","0.0285","0.0","0.2264","0.2525","A","0","30"
"HF004","2","GSWS07","2015","2015","7","0.0064","0.0159","0.0032","0.1071","0.1234","A","0","31"
"HF004","2","GSWS07","2015","2015","8","0.0037","0.0041","0.0029","0.0622","0.0085","A","0","4"
"HF004","2","GSWS07","2015","2014","10","0.0201","0.1978","0.0046","0.3381","0.3897","A","0","31"
"HF004","2","GSWS07","2015","2014","11","0.1993","1.6918","0.0165","3.357","3.7455","Q","1","30"
"HF004","2","GSWS07","2015","2014","12","0.4215","3.3824","0.0957","7.0995","8.185","Q","2","31"
