"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWSMA","2014","2014","1","13.6148","52.5628","3.3035","6.0679","6.9954","A","0","31"
"HF004","2","GSWSMA","2014","2014","2","41.2126","225.2532","6.9999","18.3677","19.1272","A","0","28"
"HF004","2","GSWSMA","2014","2014","3","31.982","119.5996","6.8766","14.2538","16.4333","A","0","31"
"HF004","2","GSWSMA","2014","2014","4","17.2923","46.0632","6.9074","7.7069","8.5986","A","0","30"
"HF004","2","GSWSMA","2014","2014","5","12.5205","42.5005","4.2289","5.5802","6.4333","A","0","31"
"HF004","2","GSWSMA","2014","2014","6","3.2165","7.1866","2.1867","1.4335","1.5992","A","0","30"
"HF004","2","GSWSMA","2014","2014","7","1.9433","4.1791","1.2128","0.8661","0.9986","A","0","31"
"HF004","2","GSWSMA","2014","2014","8","0.968","1.489","0.7468","0.4314","0.4974","A","0","31"
"HF004","2","GSWSMA","2014","2014","9","0.7455","2.0198","0.6315","0.3322","0.3707","A","0","30"
"HF004","2","GSWSMA","2014","2013","10","4.82","28.9865","1.5536","2.1482","2.4767","A","0","31"
"HF004","2","GSWSMA","2014","2013","11","9.5321","62.3484","1.6194","4.2483","4.7399","A","0","30"
"HF004","2","GSWSMA","2014","2013","12","8.3557","68.2032","4.0557","3.724","4.2934","A","0","31"
