"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWSMF","2014","2014","1","0.0017","0.0035","0.0004","0.0008","0.0003","A","0","31"
"HF004","2","GSWSMF","2014","2014","2","0.0002","0.0022","0.0","0.0001","0.0","A","0","28"
"HF004","2","GSWSMF","2014","2014","3","0.3759","2.305","0.0","0.1675","0.1931","A","0","31"
"HF004","2","GSWSMF","2014","2014","4","1.144","1.8783","0.3675","0.5098","0.5689","A","0","30"
"HF004","2","GSWSMF","2014","2014","5","0.8029","1.7282","0.1336","0.3578","0.4127","A","0","31"
"HF004","2","GSWSMF","2014","2014","6","0.2145","0.6962","0.0718","0.0956","0.1068","A","0","30"
"HF004","2","GSWSMF","2014","2014","7","0.193","0.3303","0.135","0.086","0.0994","A","0","31"
"HF004","2","GSWSMF","2014","2014","8","0.1084","0.1799","0.0863","0.0483","0.0554","A","0","31"
"HF004","2","GSWSMF","2014","2014","9","0.1477","0.2844","0.0907","0.0658","0.0735","A","0","30"
"HF004","2","GSWSMF","2014","2013","10","0.0338","0.9955","0.0022","0.0151","0.0177","A","0","31"
"HF004","2","GSWSMF","2014","2013","11","0.0065","0.0092","0.0044","0.0029","0.003","A","0","30"
"HF004","2","GSWSMF","2014","2013","12","0.0047","0.0063","0.0029","0.0021","0.0031","A","0","31"
