dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comment
HF002,6,GSCC01,9/11/2013 10:15,0.059,0.059,10/17/2013 9:00,0.103,0.102,                                                                                                    
HF002,6,GSCC01,10/17/2013 9:00,0.103,0.102,11/13/2013 13:03,0.125,0.13,                                                                                                    
HF002,6,GSCC01,11/13/2013 13:03,0.13,0.13,12/17/2013 8:49,0.224,0.229,
HF002,6,GSCC01,12/17/2013 8:49,0.23,0.229,1/7/2014 10:07,0.137,0.13,
HF002,6,GSCC01,1/7/2014 10:07,0.13,0.13,1/28/2014 12:53,0.169,0.17,
HF002,6,GSCC01,1/28/2014 12:53,0.169,0.17,2/26/2014 10:02,0.408,0.4,
HF002,6,GSCC01,2/26/2014 10:02,0.4,0.4,3/19/2014 8:35,0.389,0.382,
HF002,6,GSCC01,3/19/2014 8:35,0.383,0.382,4/15/2014 14:19,0.267,0.266,
HF002,6,GSCC01,4/15/2014 14:19,0.266,0.266,5/8/2014 8:30,0.271,0.267,
HF002,6,GSCC01,5/8/2014 8:30,0.267,0.267,6/2/2014 12:21,0.222,0.218,
HF002,6,GSCC01,6/2/2014 12:21,0.217,0.218,6/27/2014 6:43,0.206,0.212,
HF002,6,GSCC01,6/27/2014 6:43,0.211,0.212,7/9/2014 8:38,0.141,0.143,Weir drained for annual maintenance & sediment survey.
HF002,6,GSCC01,7/9/2014 8:38,0.143,0.143,7/10/2014 8:38,0.141,0.141,Station restarted 7/10. Missing data estimated.
HF002,6,GSCC01,7/10/2014 8:38,0.142,0.141,8/5/2014 6:57,0.097,0.093,
HF002,6,GSCC01,8/5/2014 6:57,0.093,0.093,8/26/2014 7:22,0.072,0.071,
HF002,6,GSCC01,8/26/2014 7:22,0.072,0.071,9/16/2014 8:22,0.058,0.055,
HF002,6,GSCC01,9/16/2014 8:22,0.055,0.055,10/23/2014 11:29,0.312,0.312,
HF002,6,GSCC01,10/23/2014 11:29,0.312,0.312,,,,
