dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSCC04,8/21/2013 9:55,0.079,0.079,9/11/2013 12:07,0.081,0.078,                                                                                                    
HF002,6,GSCC04,9/11/2013 12:07,0.081,0.078,10/17/2013 11:01,0.096,0.09,                                                                                                    
HF002,6,GSCC04,10/17/2013 11:01,0.09,0.09,11/13/2013 13:56,0.122,0.117,                                                                                                    
HF002,6,GSCC04,11/13/2013 13:56,0.118,0.117,12/17/2013 9:38,0.2,0.213,"Weir pool covered w/ 3/4"" ice. V-notch was ice free."
HF002,6,GSCC04,12/17/2013 9:38,0.213,0.213,1/7/2014 11:20,0.135,0.123,
HF002,6,GSCC04,1/7/2014 11:20,0.123,0.123,1/28/2014 13:40,0.152,0.151,
HF002,6,GSCC04,1/28/2014 13:40,0.152,0.151,2/26/2014 11:38,0.315,0.31,
HF002,6,GSCC04,2/26/2014 11:38,0.311,0.31,3/19/2014 9:46,0.306,0.298,
HF002,6,GSCC04,3/19/2014 9:46,0.298,0.298,4/15/2014 12:54,0.216,0.212,
HF002,6,GSCC04,4/15/2014 12:54,0.211,0.212,5/8/2014 9:37,0.224,0.219,Pully adjustment plate was loose. Data may be questionable.
HF002,6,GSCC04,5/8/2014 9:37,0.217,0.219,5/19/2014 8:07,0.284,0.284,Rechecked pully adjustment plate. OK
HF002,6,GSCC04,5/19/2014 8:07,0.284,0.284,6/2/2014 13:26,0.167,0.165,
HF002,6,GSCC04,6/2/2014 13:26,0.167,0.165,6/27/2014 7:45,0.146,0.15,
HF002,6,GSCC04,6/27/2014 7:45,0.15,0.15,7/9/2014 10:17,0.114,0.116,Weir drained for annual maintenance & sediment survey.
HF002,6,GSCC04,7/9/2014 10:17,0.114,0.116,7/10/2014 12:07,0.111,0.111,Restarted 7/10. Missing data is estimated.
HF002,6,GSCC04,7/10/2014 12:07,0.111,0.111,8/5/2014 8:54,0.095,0.09,
HF002,6,GSCC04,8/5/2014 8:54,0.09,0.09,8/26/2014 8:36,0.082,0.081,
HF002,6,GSCC04,8/26/2014 8:36,0.082,0.081,9/16/2014 9:30,0.077,0.073,
HF002,6,GSCC04,9/16/2014 9:30,0.073,0.073,10/23/2014 12:35,0.237,0.234,
HF002,6,GSCC04,10/23/2014 12:35,0.237,0.234,,,,
