dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS01,8/13/2013 15:34,0.14,0.138,8/20/2013 17:24,0.118,0.123,                                                                                                    
HF002,6,GSWS01,8/20/2013 17:24,0.123,0.123,8/27/2013 14:54,0.149,0.151,                                                                                                    
HF002,6,GSWS01,8/27/2013 14:54,0.149,0.151,9/3/2013 18:53,0.127,0.129,                                                                                                    
HF002,6,GSWS01,9/3/2013 18:53,0.127,0.129,9/10/2013 19:14,0.138,0.137,Leaf blocking v-notch.                                                                              
HF002,6,GSWS01,9/10/2013 19:14,0.135,0.137,9/25/2013 8:30,0.377,0.351,Debris blocking v-notch before removal. V-notch removed @0830                                       
HF002,6,GSWS01,9/25/2013 8:30,0.076,0.075,10/1/2013 15:16,0.211,0.214,                                      
HF002,6,GSWS01,10/1/2013 15:16,0.211,0.214,10/22/2013 7:35,0.039,0.039,                                                                                                    
HF002,6,GSWS01,10/22/2013 7:35,0.039,0.039,11/12/2014 13:18,0.082,0.082,
HF002,6,GSWS01,11/12/2013 13:18,0.082,0.082,12/5/2013 14:51,0.153,0.16,
HF002,6,GSWS01,12/5/2013 14:51,0.16,0.16,12/23/2013 9:08,0.181,0.18,
HF002,6,GSWS01,12/23/2013 9:08,0.181,0.18,1/14/2014 15:12,0.272,0.265,
HF002,6,GSWS01,1/14/2014 15:12,0.265,0.265,2/4/2014 15:22,0.141,0.141,
HF002,6,GSWS01,2/4/2014 15:22,0.141,0.141,2/15/2014 9:29,0.697,0.7,
HF002,6,GSWS01,2/15/2014 9:29,0.697,0.7,2/25/2014 16:36,0.207,0.212,Sediment removed from flume entry pool 2/25@1636.
HF002,6,GSWS01,2/25/2014 16:36,0.211,0.212,3/18/2014 13:10,0.202,0.2,Sediment removed from flume entry pool 3/18@1310
HF002,6,GSWS01,3/18/2014 13:10,0.2,0.2,4/8/2014 15:16,0.229,0.23,
HF002,6,GSWS01,4/8/2014 15:16,0.229,0.23,4/29/2014 15:06,0.071,0.071,
HF002,6,GSWS01,4/29/2014 15:06,0.071,0.071,5/6/2014 18:17,0.132,0.132,
HF002,6,GSWS01,5/6/2014 18:17,0.132,0.132,5/13/2014 9:15,0.195,0.195,
HF002,6,GSWS01,5/13/2014 9:15,0.195,0.195,5/20/2014 18:08,0.142,0.138,Algae cleaned off flume 5/20@1808.
HF002,6,GSWS01,5/20/2014 18:08,0.138,0.138,5/27/2014 14:49,0.087,0.085,
HF002,6,GSWS01,5/27/2014 14:49,0.087,0.085,6/4/2014 7:58,0.074,0.07,
HF002,6,GSWS01,6/4/2014 7:58,0.074,0.07,6/10/2014 14:25,0.057,0.051,
HF002,6,GSWS01,6/10/2014 14:25,0.05,0.051,6/17/2014 9:53,0.064,0.065,
HF002,6,GSWS01,6/17/2014 9:53,0.065,0.065,6/30/2014 10:23,0.049,0.05,V-notch installed 6/30@1023
HF002,6,GSWS01,6/30/2014 10:23,0.237,0.237,7/7/2014 15:52,0.195,0.195,
HF002,6,GSWS01,7/7/2014 15:52,0.195,0.195,7/15/2014 16:44,0.172,0.171,
HF002,6,GSWS01,7/15/2014 16:44,0.172,0.171,7/22/2014 16:18,0.187,0.187,
HF002,6,GSWS01,7/22/2014 16:18,0.187,0.187,7/30/2014 8:15,0.174,0.173,
HF002,6,GSWS01,7/30/2014 8:15,0.174,0.173,8/6/2014 13:24,0.153,0.151,
HF002,6,GSWS01,8/6/2014 13:24,0.153,0.151,8/12/2014 9:07,0.134,0.132,
HF002,6,GSWS01,8/12/2014 9:07,0.134,0.132,8/19/2014 10:18,0.129,0.129,
HF002,6,GSWS01,8/19/2014 10:18,0.129,0.129,8/26/2014 9:53,0.122,0.12,
HF002,6,GSWS01,8/26/2014 9:53,0.122,0.12,9/2/2014 17:38,0.136,0.14,
HF002,6,GSWS01,9/2/2014 17:38,0.136,0.14,9/9/2014 9:08,0.12,0.117,
HF002,6,GSWS01,9/9/2014 9:08,0.12,0.117,9/16/2014 9:18,0.111,0.107,
HF002,6,GSWS01,9/16/2014 9:18,0.108,0.107,9/23/2014 10:20,0.115,0.115,
HF002,6,GSWS01,9/23/2014 10:20,0.115,0.115,9/29/2014 14:48,0.149,0.145,V-notch removed 9/29@1448. Leaves blocking V before removal
HF002,6,GSWS01,9/29/2014 14:48,0.024,0.024,10/7/2014 9:16,0.02,0.022,
HF002,6,GSWS01,10/7/2014 9:16,0.02,0.022,,,,
