dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWSMF,8/13/2013 10:31,0.204,0.199,8/20/2013 13:59,0.199,0.198,                                                                                                    
HF002,6,GSWSMF,8/20/2013 13:59,0.199,0.198,8/27/2013 13:04,0.197,0.199,                                                                                                    
HF002,6,GSWSMF,8/27/2013 13:04,0.197,0.199,9/3/2013 14:15,0.194,0.192,Incresed flow through fish passage 9/3@1415                                                         
HF002,6,GSWSMF,9/3/2013 14:15,0.199,0.202,9/10/2013 11:31,0.218,0.219,                                                                                                    
HF002,6,GSWSMF,9/10/2013 11:31,0.218,0.219,9/24/2013 15:46,0.4,0.398,                                                                                                    
HF002,6,GSWSMF,9/24/2013 15:46,0.4,0.398,10/1/2013 8:56,0.518,0.519,Fish passage closed for winter on 10/01@0856                                                        
HF002,6,GSWSMF,10/1/2013 8:56,0.178,0.18,10/22/2013 13:05,0.099,0.099,Flow directed away from fish passage entry 10/22@1305.
HF002,6,GSWSMF,10/22/2013 13:05,0.043,0.049,11/12/2013 16:00,0.062,0.069,Main flume intake cleaned 10/28@1420. No FP readings.
HF002,6,GSWSMF,11/12/2013 16:00,0.062,0.069,12/4/2013 14:00,0.061,0.062,
HF002,6,GSWSMF,12/4/2013 14:00,0.061,0.062,12/22/2013 13:36,0.06,0.059,
HF002,6,GSWSMF,12/22/2013 13:36,0.06,0.059,1/15/2014 17:35,0.045,0.039,
HF002,6,GSWSMF,1/15/2014 17:35,0.045,0.039,2/5/2014 10:02,0.031,0.02,
HF002,6,GSWSMF,2/5/2014 10:02,0.024,0.02,2/14/2014 13:45,0.023,0.019,
HF002,6,GSWSMF,2/14/2014 13:45,0.023,0.019,2/25/2014 8:08,0.01,0.009,
HF002,6,GSWSMF,2/25/2014 8:08,0.01,0.009,3/20/2014 11:07,0.012,0.013,Fish passage gate opened 3/20@1300
HF002,6,GSWSMF,3/20/2014 11:07,0.48,0.478,4/9/2014 8:51,0.638,0.63,
HF002,6,GSWSMF,4/9/2014 8:51,0.638,0.63,4/30/2014 8:40,0.584,0.585,
HF002,6,GSWSMF,4/30/2014 8:40,0.584,0.585,5/20/2014 14:44,0.434,0.428,
HF002,6,GSWSMF,5/20/2014 14:44,0.434,0.428,6/11/2014 13:20,0.178,0.18,More flow directed to fish passage 6/11@1320
HF002,6,GSWSMF,6/11/2014 13:20,0.296,0.291,6/17/2014 13:41,0.323,0.325,
HF002,6,GSWSMF,6/17/2014 13:41,0.323,0.325,7/3/2014 7:25,0.304,0.299,
HF002,6,GSWSMF,7/3/2014 7:25,0.304,0.299,7/7/2014 11:40,0.284,0.282,
HF002,6,GSWSMF,7/7/2014 11:40,0.284,0.282,7/22/2014 9:09,0.253,0.25,
HF002,6,GSWSMF,7/22/2014 9:09,0.253,0.25,8/13/2014 7:43,0.213,0.209,
HF002,6,GSWSMF,8/13/2014 7:43,0.213,0.209,8/19/2014 13:41,0.207,0.202,
HF002,6,GSWSMF,8/19/2014 13:41,0.207,0.202,8/26/2014 13:20,0.199,0.198,
HF002,6,GSWSMF,8/26/2014 13:20,0.199,0.198,9/2/2014 14:18,0.198,0.198,Directed more flow to fish passage 9/2@1418
HF002,6,GSWSMF,9/2/2014 14:18,0.248,0.245,9/23/2014 13:08,0.232,0.23,
HF002,6,GSWSMF,9/23/2014 13:08,0.232,0.23,10/1/2014 9:28,0.249,0.247,
HF002,6,GSWSMF,10/1/2014 9:28,0.249,0.247,10/7/2014 11:38,0.229,0.222,
HF002,6,GSWSMF,10/7/2014 11:38,0.229,0.222,,,,
